,userId,songId,rating
0,-50XWnmQGqBgEI-9ANvLlg,DYuOxkW4DtlJsTHdxdXSlg,5.0
28,-xDW3gYiYaoeVASXywTPgw,fHM09_y3QX3n4a_bIFbk_w,3.0
55,0BoO48jZw2kjJjwgwIjbLw,VGWEpMEkzQopS5lUNd06Sw,2.0
76,0hZfE2He1YssM_wEvKhfcA,966W5oXOBW0ZWhNYy0yjcA,4.0
116,0nqshyLgABOSyTfJUTthjQ,IJUCRd5v-XLkcGrKjb8IfA,5.0
142,1O638BDK_fWuxgTVJwff-A,m_CqRpEZ2XDH3fp-KFAycQ,4.0
168,1dWLN4Mr4hKhu8MQUCKqXQ,LNGBEEelQx4zbfWnlc66cw,4.0
190,3nDUQBjKyVor5wV0reJChg,LNGBEEelQx4zbfWnlc66cw,4.0
235,3nIuSCZk5f_2WWYMLN7h3w,0qSKZhVC_BHPuKro4QGWJw,1.0
286,48vRThjhuhiSQINQ2KV8Sw,4ugJ4F8jDJ9-2dEiZ47wLg,4.0
321,53bZ_EsXH71L7iFs5MP9_w,41b2SLmjLcxTGLVRxASiDA,3.0
341,5wT0vDycEzgq95yVCZ60Aw,KskYqH1Bi7Z_61pH6Om8pg,3.0
373,6YmRpoIuiq8I19Q8dHKTHw,GTR39A2jwNIS_NV8q2r_JA,2.0
397,77lef7kKkoOVupY-7AmieQ,UAMTM6LMA2on079oBMFBPQ,5.0
420,7Oe6ikklTjVBbEFw9emLcA,DkZuVzYuylBanEsWK7mNGw,4.0
447,7tpZVkiYuMbDP4-NufK2Iw,1Df5WnLX3DqN6ymlhqznaQ,5.0
473,82GOQIPlSzLvRphl9MzRhw,jrE4M9HlYp2AZZ7iQCSIRw,2.0
495,86RJ2VAQoUypqdf7ZEpEXg,dQ4pxV6AxBaD3X4gssg5zg,2.0
525,8DEyKVyplnOcSKx39vatbg,6xgcHeLad-VaoTIQewK84A,2.0
593,8OeTLey-p-WaL9ErNEci1Q,u3nwislXMKKwkpHAXAArbQ,5.0
634,8Ox2EA8A7FVSzVEM3TRn7Q,awI4hHMfa7H0Xf0-ChU5hg,5.0
658,8QKrhvVqhEkD8xo4E4s0GQ,hCsJv234v62MgdsUU1j8dQ,5.0
693,8ZryN_S-n48g6rsa3W3QtQ,ugLqbAvBdRDc-gS4hpslXw,5.0
717,8drMKNHWavs2g6uf0pLtvg,R_ZlcX46pPdjhjmfd043LA,4.0
737,8dxkcmAXY4ttrVFD1GhbdQ,OHFH6ALQqq35NiEbD1eXuw,4.0
771,9GyTNxzAN8UxpPPSTfei-A,m_CqRpEZ2XDH3fp-KFAycQ,5.0
794,9PODl32fViCXhN4NxBdGPQ,tWasMHaS6ZD-xRhevpoqkw,5.0
818,9ks-80ZxeCZWNObzEbW4-Q,LNGBEEelQx4zbfWnlc66cw,5.0
838,A5A34ixb-yy6nwL42iZsnw,gO_z_5FQVHLCiJjOsfE1fg,2.0
867,AyjqBovADgbskmLrIBOMlQ,WCFz9KVJTtIXSVvD5NMYoQ,2.0
898,B1829_hxXSEpDPEDJtYeIw,sqRX-XLlhx4rs2c1TpBf8A,5.0
929,BI4jBJVto2tEQ0NiaR0rNQ,JpgVl3d20CMRNjf1DVnzGA,1.0
950,BeitdSC8JuthwhzjGrObwA,JPWg9acsCv_om9UFYGMJbA,3.0
970,C2C0GPKvzWWnP57Os9eQ0w,rTS8LsUmNIiXsXydE49tPA,4.0
1020,CDvhiRiczAq0M5pktyiyog,vDhifJNAtVFGjqJM5hFQkg,3.0
1047,CNaaizAUc2c4WIb1M3BBPw,6kkxRV8H9SQLybj0xnEbMw,4.0
1068,CQZpblGIHeMlD7KqNP7J7Q,KskYqH1Bi7Z_61pH6Om8pg,3.0
1091,Cfwvos6oFlDquGiI2Qy1gQ,mjhwLcuoenVW8oFhcNmlHA,5.0
1116,D3fOi-5w4intrUTWXzIQew,KhWl4Mwhm_Oqq0zIIz-0wQ,2.0
1141,D43OWyfzIQjL8feJpYh2SQ,XhUec_6-kgPy1_ZYUrzvPQ,5.0
1169,DWfos3PxcrkqAJoAZHEg3A,TqUVH7Ox_3qEkCxCCS_l3Q,2.0
1190,DeVGAiOf2mHVUDfxvuhVlQ,LNOnYo13ggdoEGD-syYHIA,4.0
1231,DoRCeCcJbrsM2BiAKj3trA,bQ_wtZvMb__OhprY5bF9aQ,5.0
1258,FEwPxhjdVKxSPVQQAHX2gg,IT_4EEIbv6Ox1jBRMyE7pg,5.0
1296,FIk4lQQu1eTe2EpzQ4xhBA,966W5oXOBW0ZWhNYy0yjcA,3.0
1333,Fv0e9RIV9jw5TX3ctA1WbA,VG0nWxGsPixYLsyi49gyxQ,5.0
1354,G2ToQ5eT91v2hkIT7I4X7g,GI-CAiZ_Gg3h21PwrANB4Q,5.0
1374,GOTjwdXD6bNZ-_qjY7GYYw,FYqFfaxVRW6pdviONXIoDw,5.0
1410,HJj82f-csBI7jjgenwqhvw,WpI5MZC3XzlTpcUOKXzCbA,4.0
1445,HRyFtrmf19GTKEM_kOa2pg,ZIUs7gncPOX0OXr1ZYviAQ,2.0
1471,JQlzHruOqwMuueStY_9_DA,oQi2rgl-ajKDoTAaceLBag,3.0
1491,JXHrhT72U6sZJQSkFfNzjw,VG0nWxGsPixYLsyi49gyxQ,3.0
1529,JaqcCU3nxReTW2cBLHounA,7wHLFohwCw8l6WS-feLjeg,4.0
1570,Jbd1x8jj3EgOkQMZ3RImKw,PChG1Dm0A6AXIXkXGVK8Fw,4.0
1610,JcNSd3dXmIMVHP2CUpvMHA,zcScEL0WEdFkROcnz5379g,4.0
1632,KmBPYlD00BupKSwWxOWA6w,rZwq4LBO0p9m9zJ2zSEKNQ,5.0
1657,Kp5KHBSmV-Htc9NeSjJfPA,R54Sh5Y3zjtZt7MjdfwDZA,4.0
1695,KrT4LHYdRt-m1DMPtVKN4w,LNGBEEelQx4zbfWnlc66cw,5.0
1724,Ksp1e9Dw0Jcog_ZBD3-45g,ugLqbAvBdRDc-gS4hpslXw,2.0
1756,L8P5OWO1Jh4B2HLa1Fnbng,1Df5WnLX3DqN6ymlhqznaQ,4.0
1806,LDu8Kn3k1CZHY5sEq3bLPQ,XgsIf7s2zM-cC29WUD-NZQ,5.0
1826,LNPyE5X1K5B_flcTCH9StQ,y8d90Pt16Nip-B5UXWBP-w,4.0
1861,LwVUO_5jjHuJRhvl6hlHVg,A5Rkh7UymKm0_Rxm9K2PJw,5.0
1883,Mfmx6DSGOrJjr4jeWmqCuw,n_o2DAmDBAZ-RjVDSY-5uQ,5.0
1903,N044aCKJv3G5WuvwT5AJcA,vx4YAA02Qz6khRD1fZ1MFA,4.0
1931,N3oNEwh0qgPqPP3Em6wJXw,wZvSsHFU0NdyQ03625kh6g,4.0
1984,NjNJ1JLnMlOfnDI6Oz6Qew,9M6eqYZlyBMo8K9QztXcIA,3.0
2008,NrpzAH3EoNhWUR8OysUhBQ,tQifTiY-vutj8orxcMJKfQ,4.0
2044,OLn8EvPsu4hNug8V5PF2jA,0QzCeORfF8EY34UODWRV9A,3.0
2071,OXSJCjKtvZPf-YPDCXcWZg,y8d90Pt16Nip-B5UXWBP-w,4.0
2105,ObQl16Vuc4sHPGKtzSGNUw,i8hkzA5eiUXgbPjN8vK3rQ,2.0
2132,OoyQYSeYNyRVOmdO3tsxYA,PChG1Dm0A6AXIXkXGVK8Fw,3.0
2152,P0rGN5mDue55uIiAzkrRlw,O3OH5IEFMPtz7mPKakPZ3Q,5.0
2172,PFENoZUD77aioJGrnllIKA,vzrcPqSdRY41GoO5DR5pYA,1.0
2192,PKEzKWv_FktMm2mGPjwd0Q,T5UBAJt5Kod_wQGbH6m9hA,4.0
2283,PV0VEhlmhc2BjzMZEbpWlg,oQi2rgl-ajKDoTAaceLBag,4.0
2305,PomQayG1WhMxeSl1zohAUA,LNGBEEelQx4zbfWnlc66cw,5.0
2330,QCtHk02W_Asu2LFfdmGQDA,VKmGedwOk-16D7OawNg_ng,3.0
2360,QHX3NxFAlda3I32taYzI8w,UNI1agsPX2k3eJSJVB91nw,2.0
2387,QJI9OSEn6ujRCtrX06vs1w,R_ZlcX46pPdjhjmfd043LA,4.0
2410,RQlnSCjuqMnhR3Qk6j4KoA,rvnTFEq7R2ZHg0_CYbBNFw,2.0
2433,Rdt-JiAN7Qlw3dJ7UVdNtw,p3YqOYELqXtLyHz9T49p_w,5.0
2453,RoJCMSycQZGEefAh8-OHJg,oEkOj9NXJFrjFn3NBB_jpA,2.0
2480,Ryxj0u0AW3mRsRypdYli2A,fL2vdjn-ApNcsVntxtg4Dg,3.0
2502,T5KBc5QbwZ-Oj9ApE4vZJA,LNGBEEelQx4zbfWnlc66cw,4.0
2529,TUOj8sUc4eyEe35ZUZN4ZQ,awI4hHMfa7H0Xf0-ChU5hg,5.0
2553,T_RiQ-TOeZf8N2kiCNCiSg,PDIh1lVtKlUqPJROXYJQvQ,5.0
2573,TdYKJgSgY2GF_YJnwsi5yQ,VGWEpMEkzQopS5lUNd06Sw,3.0
