,userId,songId,rating
8615,A0464351OZXPUPKGI6HO,B008TWM6HG,5.0
18840,A104KQ73VPEUQT,B00BJS9B98,5.0
4039,A1079CQTAUIX6J,B009LRNT1A,5.0
3574,A108BE4UU6EELV,B006YJC7J8,5.0
2406,A108EEYSHGDL6O,B004COEDQM,4.0
3987,A108Q7Q36NS5M4,B004KQ8RKK,4.0
27825,A10BHKV1FOS2Y3,B004MF3IA8,5.0
5619,A10GDDRKCIZGE6,B0040X39GK,5.0
40637,A10KSUIGKK80EU,B018513WKU,5.0
3710,A10M2CONITA2CM,B0071C9B0U,5.0
1766,A10N3DDOC3GHW6,B007YZCJ9E,5.0
8621,A10OQDF22O4J8Y,B00FME4NAW,5.0
43261,A10PXKZ7XJNVHO,B00OQ1I2C2,5.0
24431,A10RFE02942D9N,B00MEB2EIE,5.0
1900,A10UHQH1YL5Q6B,B00993E8WK,5.0
54199,A10UMAMEHEI51T,B00KICMWEM,5.0
3259,A10VVWWZIFLPV9,B00AECECGW,5.0
2639,A10YCRIFU0X9ZM,B007CBSBM4,5.0
119,A10ZBR6O8S8OCY,B000S0B9ZC,5.0
675,A10ZFE6YE0UHW8,B001QATRCA,5.0
276,A1143YEAZYMYHJ,B002BSH3Y0,5.0
40114,A11456R1V25G8R,B00OBSPWD2,5.0
41700,A11593W66FNIMM,B00T38OHQ8,5.0
34246,A115M4UTEVGZN,B00S6EIIPQ,5.0
17476,A117DOFKBQA4WI,B00MVV7VSK,4.0
1579,A11AKJ252ALFON,B00585CLUE,5.0
14513,A11BZ6WKO2Z27U,B007FHCR20,4.0
29131,A11CLWWNE9XY9O,B009AJ2CDK,5.0
20261,A11EAZ7FMRFLJB,B00M78E2I4,5.0
11407,A11JXGD1N6Z7EZ,B00EZK0C1S,3.0
534,A11OTLEDSW8ZXD,B003NS3KBM,4.0
9415,A11PV4TVZ0KPRT,B00BJH1ERG,5.0
24837,A11WCDVIYY05NW,B00TGBL9UE,5.0
9980,A11WKHP13EIFP7,B00IZBHODW,3.0
24793,A11WX0NHG84EOC,B00SND7CYI,5.0
65280,A127OIBPB3U35A,B00UGMUAEI,5.0
690,A12B7ZMXFI6IXY,B003SX0O2K,5.0
100,A12DQZKRKTNF5E,B000NNDZK6,4.0
2345,A12E770VZMF0WJ,B005T0DV2K,5.0
5618,A12KT33O7T45RD,B00IRS9J90,3.0
9140,A12QBPAO1IX8AN,B00CZ7O3H2,5.0
48669,A12TN4OLZWU4IH,B00LPZARCK,4.0
30264,A12TRP4IDBXGSY,B00NWMI07S,5.0
3133,A12V01DXMXT66,B00A7BDAWC,5.0
4903,A12VVFSYYMI1HC,B006G7YRGO,3.0
31892,A12ZXC6VBOZ7DC,B00ELCBGPQ,5.0
31558,A1339G666A6995,B00W65VYZM,5.0
15254,A135AID7S9P7Q6,B00LAAV0TO,5.0
2203,A135GT9CMYZ3CC,B0042TY68C,5.0
1594,A135Y0O7M667SZ,B0067HQL30,5.0
37,A13BX9O5UDBILC,B000EIXG7C,4.0
32420,A13CLOMVR44J90,B00RYA0OVY,5.0
5788,A13G2GT8QA8LHJ,B00E7VZXO6,5.0
16587,A13HBEBVTHV5VA,B00JV48PLM,5.0
25160,A13IPVJ08JN0VM,B00TKWEPEG,1.0
11083,A13L45CSY7TEQZ,B008T25XX0,4.0
11380,A13LXFPP36COEQ,B00UMNJPWO,5.0
13923,A13OGX3K6JIKC1,B00LI4DY3C,5.0
3237,A13TDPI2TG25R,B009CI1K4G,5.0
515,A13UP2FQ74VWUD,B002E1R0N8,3.0
7087,A13WL0ZDR63LMD,B00FM7R1WG,4.0
8307,A13WMX9XT31S5A,B00BW6GH76,3.0
2835,A13WPKG23DN4MS,B005T0DTOK,5.0
13803,A13Y9UJLVV51HD,B00FAY7R8O,5.0
8176,A13YFZ25Y1CF97,B00BJDQALA,5.0
10124,A13YHX8QAM9SXX,B00GP0GUC6,5.0
22693,A13Z5CEF8SEOR4,B00OO3BUIU,2.0
99,A13ZDDSCCIOXD4,B000M1LI5I,5.0
36411,A141HSH6XSN83O,B00F0P2FNU,5.0
1485,A141O78M981TWU,B005QBR1VO,3.0
18221,A144BTCDQ7OD12,B00KB9AWEE,3.0
985,A145K6RGUUMAEO,B003SNIRAG,5.0
1,A149RNR5RH19YY,B00009J5VW,4.0
49942,A14C87Y0T4OKMR,B017GS9X2Y,5.0
43792,A14CI3MVB4J7EX,B01A57D96O,2.0
2464,A14DH94SMMTX4Z,B00A4ZWMHU,3.0
27047,A14DKGRBFJU22D,B00LUFLG20,5.0
900,A14DZY6S9MLJB0,B0044WL17Q,5.0
2894,A14HLTBGQJZBA6,B009E87SD6,5.0
23358,A14L33C8Q0E2FM,B007BYNXCA,5.0
13883,A14LQQFCR8K3LI,B00CKUBLFQ,2.0
1241,A14MJWI09JEK1A,B004VGYETW,4.0
31490,A14NAKPD2MELU4,B00Y7A8BJG,4.0
21750,A14V14ASTFBG3R,B007C5S3AU,5.0
30319,A14W5ETML2PQZ3,B00Z88SF8S,5.0
44328,A14WFQ08HSS9VZ,B0198V70VI,4.0
48133,A1548I3J0X7BVF,B00T1IBJK2,4.0
13027,A1587SGFD6ZE8V,B00A7HQ9SI,1.0
1025,A159S51Y0DTZXU,B003TSMWR4,5.0
18483,A15A0D9YK6COZN,B00O5EU7PK,5.0
15509,A15L1E57EOU3XP,B00NALNKPI,4.0
35115,A15NEAZDRBF0TH,B00CKBXGBM,5.0
61412,A15OHZMW5RL4JL,B005YFE8AY,5.0
36654,A15OMHF2W69WSC,B00M26DQBK,5.0
20244,A15PTVG886TDDY,B00M1ASOAK,4.0
15037,A15PYCET4XH22X,B00HH7MD54,4.0
808,A15QYHQH80W30L,B003X7RY06,5.0
8578,A15VQRR2EIOX2R,B0029YDXHM,2.0
358,A15XI2BEGGFEOW,B002GV5RKO,5.0
42379,A15ZKXNJFJC628,B00LJQG526,5.0
3169,A162DP1OXJVI17,B0092KJ9BU,5.0
33273,A165DV98X9AHE0,B00T5KROWI,5.0
24522,A167IGUWUMICX5,B00TU6JB6Y,3.0
7457,A168V7DB0507B5,B00GXO6UHE,4.0
19974,A16A7NKAXYWHRT,B00R9SEYAI,4.0
20608,A16CRZBC24H1EY,B00F1DCLUI,5.0
485,A16JT7E5121OAB,B0027FFZEW,4.0
8636,A16KXFBJERRM8O,B00F9F6OVK,5.0
11914,A16N5DQWZG8H1Y,B00DCIZOTE,4.0
974,A16P052K67T1GR,B005R5S14U,4.0
973,A16RI68PS6T5CA,B004A7Z428,1.0
1934,A173MU1A9C34KZ,B006MBMBTY,4.0
1715,A175XXVMLQA98A,B00506XLTG,4.0
5158,A179KXIPWL14XW,B00HVAN7NO,5.0
14214,A17AFCH44PB0N8,B00KGGK3ZU,5.0
20,A17BUUBOU0598B,B00023DS04,2.0
2401,A17EWM7CT97N8L,B006JDR8NE,5.0
2662,A17GJYLR3WH6EQ,B0067RIJ26,1.0
32,A17K81Q9OQC5LB,B0007UC5U6,4.0
6058,A17LP9LXAZ55CA,B00AHSWANA,5.0
23834,A17O1NPG7WLLT5,B00M85E1AK,5.0
54942,A17OPOE7FVEMO5,B00HGVHCXO,5.0
147,A17ST44YL27ER,B000Q6R4MK,5.0
3062,A17T6V74TFVNO8,B006VDFYGU,5.0
377,A17V9XL4CWTQ6G,B001B1RT10,2.0
16304,A17VY29ROASICD,B00NAHOLTQ,1.0
5019,A17X153R9MV9ET,B00C1YOGMQ,5.0
2251,A17YBCQHZTGUM9,B015QKJJEG,5.0
14497,A180WLLQH5D1Z2,B00D2HWBO6,3.0
1915,A185O1MX1RP964,B006U2NNBU,5.0
4185,A186YRMRVKYWNS,B00M5F08DM,5.0
6658,A188LM8DXC5D09,B007HUTXV8,5.0
22729,A18961KK4R3Y6A,B00T3TLLLG,5.0
6712,A18ANF4V2L91ZQ,B00BJN74OM,5.0
769,A18FLOC8YQY0P8,B001B42ZNO,5.0
10602,A18FUBX0QLXMZS,B00HFMUBYG,5.0
10933,A18GN4IJ19SEDG,B00HF8H5P8,5.0
11531,A18L008KVHQ1AM,B00IJ51I3Q,5.0
16140,A18M5A1J4DAWHQ,B00JW679QQ,5.0
12829,A18MHDJOCNNSB9,B003ZZY4LI,4.0
2333,A18N6YPORZBLRK,B001DYUV0Q,5.0
27722,A18T9SZBIHTRMY,B00U39A88C,5.0
6231,A18U49406IPPIJ,B00EB1BY36,5.0
19951,A18VIIKMXYWJNB,B00NB9ET2W,5.0
616,A18XP93R629M0S,B004BQ4S8Y,5.0
91,A18YMFFJW974QS,B000E6MFXA,4.0
1969,A18YMSP0D4QKE4,B006H0R2D0,5.0
1317,A18Z4PYBB9L9RY,B00NH12EHQ,5.0
135,A1901NTE8LFJF6,B000J4HCBM,5.0
8617,A190QMGJ2KGO1,B00EC4WJNQ,5.0
2798,A192HRQ8JA5J3M,B009P7GG8Y,5.0
832,A195NQ6TM56Y5T,B004SN27C4,4.0
30238,A198L25R5RST7M,B00A25OZCW,5.0
5062,A19B0AO4E4QE12,B00CBR4R4K,4.0
5085,A19CBIC5BXUCHA,B005R2RON2,3.0
110,A19E5QPDOOSQ1M,B001C8GB6G,5.0
21441,A19FEVUKDSW70E,B00PJXXMG2,5.0
65741,A19H7IU4WO6YLT,B005SUHRH6,4.0
11933,A19IBZGD11Q0XL,B00KFVRQQ0,5.0
612,A19J8BBOQBY0UD,B0053SM17Y,5.0
707,A19NP8YYADOOSF,B003SE6LD0,3.0
